"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","105.00","104.98","107.80","104.60","12.08M","12.20%"
"08/02/2023","93.58","96.50","103.90","95.52","18.68M","-3.03%"
"08/01/2023","96.50","96.94","98.00","95.01","6.10M","-0.42%"
"07/31/2023","96.91","91.50","97.58","91.50","14.67M","14.69%"
"07/27/2023","84.50","84.50","91.29","84.50","11.87M","-0.71%"
"07/26/2023","85.10","86.49","87.00","82.12","10.32M","2.12%"
"07/25/2023","83.33","79.10","85.43","79.10","12.65M","5.02%"
"07/24/2023","79.35","79.89","79.98","79.06","2.16M","0.06%"
"07/21/2023","79.30","78.39","79.75","78.04","8.26M","1.67%"
"07/20/2023","78.00","78.44","79.40","77.85","3.84M","0.14%"
"07/19/2023","77.89","78.68","79.11","77.70","3.66M","-0.78%"
"07/18/2023","78.50","78.60","78.95","77.14","5.53M","0.26%"
"07/17/2023","78.30","78.41","79.69","78.04","3.17M","-0.04%"
"07/14/2023","78.33","80.00","80.00","78.30","3.77M","-2.33%"
"07/13/2023","80.20","80.44","81.25","78.90","4.78M","-0.30%"
"07/12/2023","80.44","79.50","80.80","79.15","3.19M","1.49%"
"07/11/2023","79.26","78.40","79.90","77.85","3.96M","1.36%"
"07/10/2023","78.20","79.01","79.40","77.86","1.31M","-1.06%"
"07/07/2023","79.04","79.16","79.70","78.33","1.10M","0.03%"
"07/06/2023","79.02","78.90","79.29","77.62","2.96M","1.83%"
"07/05/2023","77.60","77.35","78.48","76.50","1.70M","-2.63%"
"07/04/2023","79.70","79.70","79.70","76.62","2.60M","1.24%"
"07/03/2023","78.72","78.50","78.72","76.75","6.30M","7.47%"
"06/27/2023","73.25","69.88","74.20","68.80","6.69M","4.24%"
"06/26/2023","70.27","69.02","70.49","69.02","2.34M","3.34%"
"06/23/2023","68.00","68.00","69.45","66.60","1.72M","0.22%"
"06/22/2023","67.85","68.10","69.00","66.83","1.69M","-0.37%"
"06/21/2023","68.10","68.05","68.74","67.90","1.62M","0.15%"
"06/20/2023","68.00","69.00","69.47","67.98","1.34M","-1.45%"
"06/19/2023","69.00","68.49","69.40","67.90","4.28M","0.15%"
"06/16/2023","68.90","68.25","69.69","68.10","788.93K","0.09%"
"06/15/2023","68.84","67.67","69.25","67.50","737.15K","0.35%"
"06/14/2023","68.60","68.33","69.90","67.71","2.20M","1.25%"
"06/13/2023","67.75","67.49","68.19","67.49","315.13K","0.52%"
"06/12/2023","67.40","69.70","69.70","66.00","3.48M","-3.70%"
"06/09/2023","69.99","70.80","70.80","69.10","1.12M","-0.43%"
"06/08/2023","70.29","71.90","72.00","70.29","650.56K","-2.10%"
"06/07/2023","71.80","71.55","72.20","71.20","1.22M","0.43%"
"06/06/2023","71.49","72.01","72.30","71.15","2.16M","-0.43%"
"06/05/2023","71.80","72.70","72.73","71.70","601.56K","-0.69%"
"06/02/2023","72.30","73.38","73.38","72.00","3.16M","-0.69%"
"06/01/2023","72.80","73.88","74.00","72.80","475.37K","-0.95%"
"05/31/2023","73.50","73.20","75.10","72.75","2.10M","-1.34%"
"05/30/2023","74.50","72.10","74.95","72.03","5.91M","3.13%"
"05/29/2023","72.24","72.90","72.90","71.60","3.05M","-0.22%"
"05/26/2023","72.40","72.12","73.00","71.70","2.20M","-0.15%"
"05/25/2023","72.51","73.00","73.45","72.49","1.32M","-0.81%"
"05/24/2023","73.10","72.95","73.70","72.80","1.06M","0.83%"
"05/23/2023","72.50","72.60","73.40","72.41","758.42K","-0.33%"
"05/22/2023","72.74","73.00","73.20","72.70","965.78K","-0.36%"
"05/19/2023","73.00","73.40","73.40","72.70","1.09M","0.00%"
"05/18/2023","73.00","74.05","74.48","72.80","990.83K","-1.42%"
"05/17/2023","74.05","73.69","74.99","73.63","2.86M","0.22%"
